date,contact_name,invoice_number,reference,total,amount_due,days_old,project_code,status
2026-03-03,Uber,RB19781822910,,56.87,56.87,36,ACT-IN,AUTHORISED
2026-02-10,Uber,RB19874783490,,56.83,56.83,57,ACT-IN,AUTHORISED
2026-03-01,Dialpad,6013096079007744,,56,56,38,ACT-IN,AUTHORISED
2026-01-12,Uber,RB19874804840,,54.97,54.97,86,ACT-IN,AUTHORISED
2026-01-03,Uber,RB19874805590,,54.51,54.51,95,ACT-IN,AUTHORISED
2025-05-21,Rasier Pacific,FIHHEACJ-03-2025-0001370,,53.46,53.46,322,ACT-IN,AUTHORISED
2025-05-08,Rasier Pacific,FBEHGFIG-03-2025-0001399,,53.2,53.2,335,ACT-IN,AUTHORISED
2025-05-14,Rasier Pacific,HJIADGBH-03-2025-0000993,,52.11,52.11,329,ACT-IN,AUTHORISED
2025-07-06,Taxi Receipt,RB17374089490,,52,52,276,ACT-IN,AUTHORISED
2025-06-29,Memories Bistro,17299541350,,52,52,283,ACT-GD,AUTHORISED
2025-09-30,Maleny Hardware And Rural Supplies,169162,,51.9,51.9,190,ACT-HV,AUTHORISED
2026-01-12,Uber,RB19874804720,,48.31,48.31,86,ACT-IN,AUTHORISED
2026-01-24,Webflow,1769231998,,46.25,46.25,74,ACT-IN,AUTHORISED
2025-10-22,Maleny Hardware And Rural Supplies,173850,,45.75,45.75,168,ACT-HV,AUTHORISED
2026-03-03,GROUP SINGLE,RB19781334240,,45.6,45.6,36,,AUTHORISED
2026-02-22,Webflow,1771729476,,45.16,45.16,45,ACT-IN,AUTHORISED
2026-01-09,Webflow,in_0SnnWao2ZNzxqgUA5PZApEr4,,43.3,43.3,89,ACT-IN,AUTHORISED
2026-03-03,Uber,RB19781823610,,43.28,43.28,36,ACT-IN,AUTHORISED
2025-05-03,Maleny Hardware And Rural Supplies,141077,,42.68,42.68,340,ACT-HV,AUTHORISED
2025-06-30,Memories Bistro,17308267390,,42,42,282,ACT-GD,AUTHORISED
2026-01-18,Uber,RB19874803300,,41.2,41.2,80,ACT-IN,AUTHORISED
2025-10-22,Maleny Hardware And Rural Supplies,173852,,40.5,40.5,168,ACT-HV,AUTHORISED
2025-08-09,Maleny Hardware And Rural Supplies,158790,,38.95,38.95,242,ACT-HV,AUTHORISED
2026-02-21,Maleny Hardware And Rural Supplies,195821,,38.85,38.85,46,ACT-HV,AUTHORISED
2025-06-28,Replit,EPCLTEGE-0003,,38.27,38.27,284,ACT-DO,AUTHORISED
2026-01-26,Webflow,1769471826,,38.16,38.16,72,ACT-IN,AUTHORISED
2026-02-26,Webflow,1772150229,,37.04,37.04,41,ACT-IN,AUTHORISED
2025-07-27,Uber,RB17591176250,,36.77,36.77,255,ACT-IN,AUTHORISED
2026-01-20,Adobe Systems Software,3341935544,,35.99,35.99,78,ACT-IN,AUTHORISED
2026-03-05,HighLevel,AGAPY3VP-0008,,35.44,35.44,34,ACT-IN,AUTHORISED
2025-05-21,Rasier Pacific,FEAAGDEJ-03-2025-0000745,,34.39,34.39,322,ACT-IN,AUTHORISED
2025-05-08,Rasier Pacific,GCAGBEBD-03-2025-0001059,,33.91,33.91,335,ACT-IN,AUTHORISED
2026-03-03,IGA,417591,,33.42,33.42,36,ACT-FM,AUTHORISED
2026-02-04,Uber,RB19874784300,,32.37,32.37,63,ACT-IN,AUTHORISED
2025-07-26,Maleny Hardware And Rural Supplies,156051,,32,32,256,ACT-HV,AUTHORISED
2025-08-20,F V Snowdon And J R Rowden,RB17808739970,,32,32,231,ACT-FM,AUTHORISED
2026-03-03,Uber,RB19781823640,,31.01,31.01,36,ACT-IN,AUTHORISED
2026-02-28,OpenAI,87327209-0026,,30.96,30.96,39,ACT-IN,AUTHORISED
2026-03-02,Uber,RB19781823840,,30.28,30.28,37,ACT-IN,AUTHORISED
2026-02-27,Uber,RB19781857570,,29.51,29.51,40,ACT-IN,AUTHORISED
2026-02-12,Firecrawl,PTJQ79UH-0004,,29.37,29.37,55,ACT-IN,AUTHORISED
2026-02-12,Firecrawl,PTJQ79UH-0004,,29.37,29.37,55,ACT-IN,AUTHORISED
2026-03-02,Uber,RB19781823780,,29.23,29.23,37,ACT-IN,AUTHORISED
2025-05-22,Rasier Pacific,HCBFACAD-03-2025-0001139,,29.19,29.19,321,ACT-IN,AUTHORISED
2025-05-23,Rasier Pacific,FIGCBGAG-03-2025-0000749,,28.7,28.7,320,ACT-IN,AUTHORISED
2026-01-27,Uber,RB19874784630,,28.47,28.47,71,ACT-IN,AUTHORISED
2026-02-19,Superdesign,W7NQFCT5-0001,,28.38,28.38,48,,AUTHORISED
2026-02-17,Vercel,6FDD0732-0004,,28.33,28.33,50,ACT-IN,AUTHORISED
2026-03-06,IGA,418236,,26.99,26.99,33,ACT-FM,AUTHORISED
2025-06-07,Maleny Hardware And Rural Supplies,146936,,26.6,26.6,305,ACT-HV,AUTHORISED
2025-05-11,Rasier Pacific,FGHIBHHG-03-2025-0001765,,26.49,26.49,332,ACT-IN,AUTHORISED
2026-02-27,Uber,RB19781857430,,26.41,26.41,40,ACT-IN,AUTHORISED
2026-02-17,Uber,RB19874780910,,26.41,26.41,50,ACT-IN,AUTHORISED
2025-06-15,Emirates,135040417,,26.15,26.15,297,ACT-IN,AUTHORISED
2025-11-09,Amazon,12484342-INV-AU-2025-92015381,,25.89,25.89,150,ACT-IN,AUTHORISED
2026-03-02,Uber,RB19781823230,,25.32,25.32,37,ACT-IN,AUTHORISED
2026-03-01,Uber,RB19781857210,,24.61,24.61,38,ACT-IN,AUTHORISED
2026-03-02,Uber,RB19781823990,,24.35,24.35,37,ACT-IN,AUTHORISED
2025-12-29,Woodfordia,1564-4151,,24,24,100,ACT-IN,AUTHORISED
2025-04-28,Replit,EPCLTEGE-0001,,23.44,23.44,345,ACT-DO,AUTHORISED
2026-03-06,Frank Food & Wine,SP-55 0305235449,,23.35,23.35,33,ACT-HV,AUTHORISED
2025-10-21,Cafe Mia,001 001 016827 0001,,23.3,23.3,169,,AUTHORISED
2025-12-16,Uber,RB19874810510,,22.92,22.92,113,ACT-IN,AUTHORISED
2026-02-12,Uber,RB19874783190,,21.71,21.71,55,ACT-IN,AUTHORISED
2025-12-21,Booking.com,5538807858,,21,21,108,ACT-IN,AUTHORISED
2025-10-18,Maleny Hardware And Rural Supplies,173206,,20.65,20.65,172,ACT-HV,AUTHORISED
2025-11-10,Ezymart Felix,001-01-99096,,20.28,20.28,149,,AUTHORISED
2025-12-28,Woodfordia,1427-3844,,20,20,101,ACT-IN,AUTHORISED
2025-06-30,Telstra,EP0130001048253855,,20,20,282,ACT-IN,AUTHORISED
2026-02-19,Superdesign,W7NQFCT5-0001,,20,20,48,,AUTHORISED
2025-03-05,Square AU Pty. Ltd,xYo4,,20,20,399,,AUTHORISED
2026-02-17,Vercel,6FDD0732-0004,,20,20,50,ACT-IN,AUTHORISED
2025-05-14,Rasier Pacific,GJBHHGIF-03-2025-0000024,,19.86,19.86,329,ACT-IN,AUTHORISED
2026-01-03,Uber,RB19874805800,,19.76,19.76,95,ACT-IN,AUTHORISED
