date,contact_name,project_code,total,gst_at_risk,bank_account
2026-03-02,NAB,ACT-HQ,0.44,0.04,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,0.44,0.04,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,0.44,0.04,NAB Visa ACT #8815
2026-03-30,NAB,,0.43,0.04,NAB Visa ACT #8815
2026-02-23,NAB,ACT-HQ,0.41,0.04,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,0.41,0.04,NAB Visa ACT #8815
2026-01-23,NAB Fee,ACT-IN,0.41,0.04,NAB Visa ACT #8815
2026-03-10,NAB,ACT-HQ,0.33,0.03,NAB Visa ACT #8815
2026-03-26,NAB,ACT-HQ,0.32,0.03,NAB Visa ACT #8815
2026-03-27,NAB,ACT-HQ,0.32,0.03,NAB Visa ACT #8815
2026-03-30,NAB,,0.26,0.02,NAB Visa ACT #8815
2026-01-14,NAB Fee,ACT-IN,0.26,0.02,NAB Visa ACT #8815
2026-01-27,NAB,ACT-HQ,0.26,0.02,NAB Visa ACT #8815
2026-02-24,NAB,ACT-HQ,0.25,0.02,NAB Visa ACT #8815
2026-02-13,NAB,ACT-HQ,0.25,0.02,NAB Visa ACT #8815
2026-03-16,NAB,ACT-HQ,0.25,0.02,NAB Visa ACT #8815
2026-03-24,NAB,ACT-HQ,0.25,0.02,NAB Visa ACT #8815
2026-03-30,NAB,,0.03,0,NAB Visa ACT #8815
